kitchen_name,oracle_code,cluster_marker,rent,city,zone,format_final,entity,status,reason_for_change,lock_in,lock_in_end_date,ops_closed,last_ops_date,last_rent_date,ll_clearance,shut_suspend_continue,dec_net_revenue,dec_ebitda,sd,sd_adjustment,sd_recovery,remarks,notice_period,remarks_2,rental_hit_till_lock_in,capex,framework,closure_phasing,hr_remarks
Navi Mumbai,NOMMH011,A165,,Mumbai,West,Cloud,Nomad,Yes,,Yes,31-Mar-26,Yes,29-Mar-26,31-Mar-26,Yes,,"6,92,239","-1,65,656","1,80,000","80,000","1,00,000",LL Discussion in process,90 days,Closed,,,0,2,Employee COmmunication DOne ( Transferred and exited)
NM Road,OVNMAA017,A169,"64,896",Chennai,South,Restaurant,OF,Yes,,Closed,,Yes,10-Jan-26,31-Jan-26,Yes,,-,-,"3,00,000","1,11,400","2,14,517",SD Recovery done,30 days,Closed,,,,,
Perambur,,A177,,Chennai,South,Restaurant,SB,Yes,,Yes,31-May-26,Yes,31-Jan-26,31-Dec-25,Yes,,"9,26,023","-2,15,730","8,10,000","3,61,600",0,LL Discussion in process,30 days,Closed,,,4,3,Communication on Hold due to Eid
Trichy,,A1965,,Trichy,South,Restaurant,SB,Yes,,No,,Yes,31-Mar-26,11-May-26,Yes,,"16,27,533","-2,89,140","11,10,000",0,0,LL Discussion in process,90 days,Closed,,,2,3,Communication on Hold due to Eid
Perambur,CFIMAA011,A2000,"94,400",Chennai,South,Restaurant,"Olio, KK",Yes,,No,,Yes,30-Mar-26,31-Mar-26,Yes,Done,0,0,"4,80,000","1,54,400","3,25,600",SD Recovery done,30 days,Closed,,,,2,Communication Done
Shoolagiri,FZBMAA012,A203,,Shoolagiri,South,Takeaway,FB,Yes,,No,,Yes,31-Dec-25,31-Dec-25,Yes,,"1,58,058","-13,039",0,0,0,SD Recovery done,-,Closed,,,,,
Bom_Tardeo,JUNBOM001,A211,"1,86,668",Mumbai,West,Cloud,CFI,Yes,,No,,Yes,25-Feb-26,30-Apr-26,Yes,Done,"6,09,985","-3,61,622","7,40,000",0,0,LL Discussion in process,60 days,Closed,,,1,1,No Communication to HRBP
Kota,CFIKOT001,A252,"29,400",Kota,North,Takeaway,Olio,Yes,,Closed,,Yes,05-Jan-26,31-Jan-26,Yes,Done,"3,37,170","-1,41,510","80,000","80,000",0,SD Recovery done,60 days,Closed,,,1,,Communication done with employees
Kanakpura Forum Mall,,A253,,Bangalore,South,Takeaway,SB,Yes,,Closed,,Yes,13-Dec-25,13-Dec-25,Yes,,0,"-5,79,632","21,00,000","6,19,215","14,80,785",SD Recovery done,-,Closed,,,1,3,Communication on Hold due to Eid
Olio Vellore,CFIMAA012,A262,"57,750",Vellore,South,Restaurant,Olio,Yes,,No,,Yes,21-Mar-26,30-Apr-26,Yes,Done,"2,90,747","-1,35,366","2,60,000","1,35,500",0,LL Discussion in process,60 days,Closed,,,1,2,Employees will be transferred to Chennai 
